"","day0","day2","day5","day8","day9","day13","day3","day6","day14","day10","day4","day7","day16","day11","day1","day12","day15"
"dead",0.00337769850884081,0.00584389192943136,0.00709079932288193,0.00583600011048547,0.0041155835802815,0.00290024346261448,0.00582021647259369,0.00578075737786424,0.00259640843319773,0.00377623536560824,0.00617929423463167,0.00498368366432937,0.00215841248170084,0.00344872487935382,0.0040011522055661,0.00314488984993706,0.00237149159323987
"home",0.0309635516341984,0.025695762487817,0.0225074676336775,0.017894699459805,0.0126466398607883,0.00684220702608641,0.0219787157643029,0.0177289712619413,0.00709474523235488,0.0102790941770214,0.0203332715140849,0.0164347129548154,0.00487714410855986,0.00899667359831431,0.0248986887742821,0.00776160393328256,0.00597410694203854
"study",0.612973361165148,0.0767005883351024,0.0479743673720638,0.0320920817434606,0.00707501568499016,0.00341321169409731,0.0222233621516255,0.0118692956946182,0.00505076412536944,0.00353948079723155,0.0116404329451874,0.00552821917159577,0.0022333847616868,0.00333429350463842,0.0400273056935528,0.00266348889423779,0.00333429350463842
