"","sustained_1L_improvement","sustained_2L_improvement"
"subset1_FALSE",23344,33786
"subset1_TRUE",17079,6637
"subset2_FALSE",21030,30540
"subset2_TRUE",15580,6070
"subset3_FALSE",44810,55987
"subset3_TRUE",18279,7102
