"","p1","p2","mortality_multiplier","sample_size","continuity_corrected_sample_size"
"subset1",0.185480035930042,0.157658030540536,0.85,2881.23265469147,5905
"subset2",0.184899176799335,0.157164300279435,0.85,2892.16304323061,5928
"subset3",0.134776792349998,0.114560273497498,0.85,4190.17455343024,8577
