"","rho","rho_prot","effect_size","sample_size"
"1",0.5,1.27493666836307,0.208037464366642,-504
"2",0.6,0.885372686363245,0.183995182410829,222
"3",0.7,0.650477892021976,0.174228539710156,662
"4",0.8,0.498022136079325,0.177747317238571,828
"5",0.9,0.393498971716998,0.195180719707545,772
