"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.164188704450437,0.139560398782871,0.85,0.838515328925691,6664.28230455498
"subset2",0.165801693526359,0.140931439497405,0.85,0.838386570597516,6587.95582597933
"subset3",0.112571129673953,0.0956854602228598,0.85,0.84245565946033,10258.9694389632
