"","term","estimate"
"1","(Intercept)","0.07 (0.04 - 0.12)"
"2","sf94_day0","1.02 (0.96 - 1.1)"
"3","sf94_day5_P","0.25 (0.23 - 0.28)"
"4","age_estimateyears","1.07 (1.06 - 1.08)"
"5","sexFemale","0.92 (0.78 - 1.07)"
