"","day0","day2","day5","day8","day9","day13","day3","day6","day14","day10","day4","day7","day16","day11","day1","day12","day15"
"dead",0.00410622750572582,0.00746537245064893,0.00881775548042316,0.0072854182571709,0.00498963900098157,0.0033809575744356,0.00725815247028029,0.00721998036863344,0.00315192496455448,0.00459155851237867,0.0077325771621769,0.00610208310611844,0.00255753081033919,0.00413894644999455,0.00502781110262842,0.00371905333187916,0.0027102192169266
"home",0.0247464281819173,0.0253190097066201,0.0235412804013524,0.0199749154760606,0.0137801286945141,0.00745446613589268,0.0210819064238194,0.018202639328171,0.0078307339949831,0.0107100010906315,0.0200130875777075,0.017041116806631,0.00542589159123132,0.00946122805104156,0.0219271458174283,0.00842512814919839,0.00638019413240266
"study",0.610350092703675,0.0958556003926273,0.0635892681862799,0.0431617406478351,0.00897044388701058,0.00370269385974479,0.0246155524048424,0.0144726796815356,0.0053713600174501,0.00428618169920384,0.0124495582942524,0.00637474097502454,0.00238302977423928,0.00412258697786018,0.0343112662231432,0.00331006652852001,0.00335914494492311
