"","rho","rho_prot","effect_size","sample_size"
"1",0.5,1.25623443603595,0.20767298002397,-446
"2",0.6,0.872385025024963,0.185281377022494,232
"3",0.7,0.640935936753034,0.176652004272574,630
"4",0.8,0.490716576576542,0.180252630442927,778
"5",0.9,0.387726677788872,0.195881222367196,738
