"","sustained_1L_improvement","sustained_2L_improvement"
"subset1_FALSE",17839,25665
"subset1_TRUE",12806,4980
"subset2_FALSE",15899,22895
"subset2_TRUE",11506,4510
"subset3_FALSE",34359,42828
"subset3_TRUE",13820,5351
