"","p1","p2","mortality_multiplier","sample_size","continuity_corrected_sample_size"
"subset1",0.206656023578534,0.175657620041754,0.85,2524.70325002507,5178
"subset2",0.206244162775183,0.175307538358906,0.85,2530.93941640139,5190
"subset3",0.154465263926735,0.131295474337725,0.85,3579.84701735922,7331
