"","day0","day2","day5","day8","day9","day13","day3","day6","day14","day10","day4","day7","day16","day11","day1","day12","day15"
"dead",0.00406447615792172,0.00738121688600239,0.00871645872500427,0.00716757819176209,0.00491903093488293,0.00334344556486071,0.00715155528969407,0.00711416851820202,0.0031244659032644,0.00455050418731841,0.00760553751495471,0.00604597504700051,0.00254230046145958,0.00408584002734575,0.00495641770637498,0.00367458554093317,0.00273457528627585
"home",0.0251239104426594,0.0252734575286276,0.023425482823449,0.0197669201845838,0.0136515125619552,0.00742394462485045,0.0210701162194497,0.0182340625534097,0.00782985814390702,0.010660570842591,0.01990578533584,0.01701632199624,0.00540505896427961,0.00946953512220133,0.0221917193642112,0.00842270552042386,0.00637711502307298
"study",0.611503375491369,0.0945564860707571,0.062489318065288,0.0423645530678516,0.00887134677832849,0.00372799521449325,0.0245470859682106,0.0142977696120321,0.00541574089899163,0.00422470517860195,0.0124284310374295,0.00637177405571697,0.00239809434284738,0.00408049905998975,0.0348391300632371,0.0032686720218766,0.00337549136899675
