"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.206656023578534,0.175657620041754,0.85,0.83500114986026,5051.02572706753
"subset2",0.206244162775183,0.175307538358906,0.85,0.835036520459477,5063.49103547012
"subset3",0.154465263926735,0.131295474337725,0.85,0.839284005422755,7158.07975115181
