"","sf94_day5_P","sf94_day8_P","sf94_day5_P","sf94_day8_P","sf94_day5_P","sf94_day8_P"
"mean",2.70571546236096,3.07947467542412,2.73450925239318,3.12884148789359,3.03096471906878,3.30123433354049
"SD",1.44919006468825,1.59289290442093,1.48768503330819,1.61357510801293,1.49930015266783,1.56806471614755
