"","4","5","6","7","8","9","10"
"1",3375,2522,2682,361,1152,427,670
"2",4394,1647,1437,418,980,346,817
"3",3180,2028,2265,302,997,326,641
"4",4182,1337,1207,354,827,265,751
"5",4472,2956,2989,380,1202,445,735
"6",5387,1968,1651,442,1047,373,907
