"","d8_cohort_sumD5","d8_cohort_sumD8","d8_cohort_sumD10","d8_cohort_sumD11","d8_cohort_sumD12","d8_cohort_sumD13","d8_cohort_sumD14","d8_cohort_sumD15","d8_cohort_sumD16"
"% dead d8",0.0631585285086399,0.111445601782166,0.145764344632428,0.163284965982299,0.178999337708471,0.191823710036727,0.204347040761033,0.214883496899271,0.223252453489072
"% alive d8",0.168523089891023,0.311818893371064,0.36943825636703,0.391594918417725,0.412848455656572,0.43247636823409,0.448612198205792,0.467698235896201,0.485279065566861
