"","0.70","0.75","0.80","0.85"
"sus imp",0.0549326420616703,0.0449454952355822,0.0353783699003654,0.0261598733960229
"who",0.685374443281199,0.736895834903482,0.788778566446196,0.841026452616278
"sf94",0.342315758935253,0.282608351771156,0.224833031524979,0.168403134921233
