"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"% dead",0.060043943764874,0.104820383890151,0.129462199229641,0.140077465658861,0.149559219326661,0.158192181447995,0.166126770777934,0.17327703374215,0.179460318995203
"% alive",0.207486556323766,0.324866906262255,0.386124944264479,0.410353108027527,0.430799314520245,0.449338426082612,0.465384883989535,0.482242528754157,0.496736450224822
