"","susimp_HR_1_1L","susimp_HR_2_1L","susimp_HR_3_1L","susimp_HR_1_2L","susimp_HR_2_2L","susimp_HR_3_2L"
"upper",1.08131977508194,1.08312011906305,1.08663144350994,1.10334172066485,1.10352971596184,1.11656352401748
"mean",1.0809232861495,1.0826901034573,1.08633980622129,1.10305484976918,1.10322091400699,1.11631434057083
"lower",1.08052688796812,1.08226019308489,1.08604820855141,1.10276799380099,1.10291212935793,1.11606516651554
