"","severity_scale_ordinal","sf94"
"1",4,4.47619047619048
"2",5,2.90625
"3",6,1.44262295081967
"4",7,2.35
"5",8,1.3
"6",9,1.33846153846154
"7",10,1.04095860566449
"8",NA,3.02069716775599
