"","d5_cohort_sumD5","d5_cohort_sumD8","d5_cohort_sumD10","d5_cohort_sumD11","d5_cohort_sumD12","d5_cohort_sumD13","d5_cohort_sumD14","d5_cohort_sumD15","d5_cohort_sumD16"
"% dead d5",0.0601495045488787,0.144057483919569,0.189720113577099,0.208263313438025,0.223097873326766,0.23549863823376,0.246856348148577,0.257055108072087,0.264878020513415
"% alive d5",0.208610998435417,0.290259025323057,0.346410152401924,0.369589152228081,0.391840992061193,0.412702091904734,0.430665816770006,0.447644434142667,0.464970736512719
