"","coefs.Predictor","coefs.Coef","coefs.S.E.","coefs.Wald.Z","coefs.Pr...Z.."
"1","Intercept",-1.0062,0.219,-4.59,"<0.0001"
"2","sf94_day8_P",0.5376,0.0223,24.14,"<0.0001"
"3","sf94_day0",-0.0759,0.0327,-2.32,"0.0202"
"4","age_estimateyears",-0.0079,0.003,-2.62,"0.0089"
"5","sex=Male",0.0316,0.0694,0.46,"0.6488"
