"","0.70","0.75","0.80","0.85"
"sus imp lower",0.0468792942558843,0.0383677558636535,0.0301853527959483,0.022313614145201
"sus imp upper",0.0788355834044904,0.0645244935973236,0.0508179694479623,0.0376080419740292
"who lower",0.684145765365537,0.735838056811581,0.7878817721973,0.84032725130747
"who upper",0.686499418557799,0.737844196440387,0.78963564031947,0.841729850414847
"sf94 lower",0.321555669644949,0.264232004047579,0.211188396152645,0.158088926636114
"sf94 upper",0.363496984399795,0.299194407649095,0.238506782282475,0.178238355945418
