"","   subjid","age_estimateyears","    sex","clinical_frailty","infiltrates_faorres","daily_temp_vsorres","systolic_vsorres","diastolic_vsorres","onset2admission","     sf94","     sfr","  rr_vsorres","daily_urine_lborres","daily_bun_lborres","daily_gcs_vsorres","daily_creat_lborres","daily_crp_lborres","severity_scale_ordinal","days_since_start","   death"," discharge","     sao2","     fio2"," sf94_group"
"","Length:32588      ","Min.   :  0.00  ","Length:32588      ","Min.   :1.000  ","Length:32588      ","Min.   :34.00  ","Min.   : 50.0  ","Min.   : 20.0  ","Min.   :-100.000  ","Min.   : NA  ","Min.   :0.941  ","Min.   : 5.00  ","Min.   :   0.0  ","Min.   : 0.000  ","Min.   : 3.00  ","Min.   : 50.0  ","Min.   :  5.0  ","Min.   : 4.000  ","Min.   :  0.000  ","Length:32588      ","Length:32588      ","Min.   :0.9410  ","Min.   :0.2110  ","Length:32588      "
"","Class :character  ","1st Qu.: 55.00  ","Class :character  ","1st Qu.:2.000  ","Class :character  ","1st Qu.:36.70  ","1st Qu.:104.0  ","1st Qu.: 57.0  ","1st Qu.:   1.000  ","1st Qu.: NA  ","1st Qu.:1.849  ","1st Qu.:20.00  ","1st Qu.: 477.5  ","1st Qu.: 4.700  ","1st Qu.:15.00  ","1st Qu.: 67.0  ","1st Qu.: 45.0  ","1st Qu.: 5.000  ","1st Qu.:  0.000  ","Class :character  ","Class :character  ","1st Qu.:0.9500  ","1st Qu.:0.2900  ","Class :character  "
"","Mode  :character  ","Median : 68.00  ","Mode  :character  ","Median :4.000  ","Mode  :character  ","Median :37.20  ","Median :119.0  ","Median : 67.0  ","Median :   5.000  ","Median : NA  ","Median :2.714  ","Median :22.00  ","Median :1109.0  ","Median : 7.000  ","Median :15.00  ","Median : 85.0  ","Median : 92.0  ","Median : 5.000  ","Median :  1.000  ","Mode  :character  ","Mode  :character  ","Median :0.9600  ","Median :0.3600  ","Mode  :character  "
"",NA,"Mean   : 66.61  ",NA,"Mean   :4.094  ",NA,"Mean   :37.38  ","Mean   :123.2  ","Mean   : 68.4  ","Mean   :   5.083  ","Mean   :NaN  ","Mean   :2.625  ","Mean   :23.99  ","Mean   :1298.5  ","Mean   : 9.213  ","Mean   :13.65  ","Mean   :118.2  ","Mean   :116.6  ","Mean   : 5.712  ","Mean   :  3.585  ",NA,NA,"Mean   :0.9638  ","Mean   :0.4277  ",NA
"",NA,"3rd Qu.: 81.00  ",NA,"3rd Qu.:6.000  ",NA,"3rd Qu.:38.00  ","3rd Qu.:139.0  ","3rd Qu.: 78.0  ","3rd Qu.:   9.000  ","3rd Qu.: NA  ","3rd Qu.:3.310  ","3rd Qu.:28.00  ","3rd Qu.:1965.0  ","3rd Qu.:11.100  ","3rd Qu.:15.00  ","3rd Qu.:122.0  ","3rd Qu.:163.6  ","3rd Qu.: 6.000  ","3rd Qu.:  5.000  ",NA,NA,"3rd Qu.:0.9700  ","3rd Qu.:0.5300  ",NA
"",NA,"Max.   :106.00  ",NA,"Max.   :9.000  ",NA,"Max.   :41.80  ","Max.   :256.0  ","Max.   :197.0  ","Max.   :  98.000  ","Max.   : NA  ","Max.   :4.545  ","Max.   :70.00  ","Max.   :7255.0  ","Max.   :50.000  ","Max.   :15.00  ","Max.   :999.0  ","Max.   :690.0  ","Max.   :10.000  ","Max.   :199.000  ",NA,NA,"Max.   :1.0000  ","Max.   :1.0100  ",NA
"",NA,"NA's   :2483  ",NA,"NA's   :19839  ",NA,"NA's   :10375  ","NA's   :22910  ","NA's   :22938  ","NA's   :1763  ","NA's   :32588  ",NA,"NA's   :17194  ","NA's   :30041  ","NA's   :9021  ","NA's   :1910  ","NA's   :12516  ","NA's   :14464  ",NA,"NA's   :440  ",NA,NA,NA,NA,NA
