"","p1","p2","mortality_multiplier","sample_size","continuity_corrected_sample_size"
"subset1",0.207770652583931,0.176605054696341,0.85,2507.95015569471,5143
"subset4",0.222641407744752,0.189245196583039,0.85,2300.48754205296,4720
