"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.447238855622089,0.380153027278776,0.85,0.808426377054977,1677.9988066272
"subset4",0.45102682831996,0.383372804071966,0.85,0.807882644247933,1653.42763438712
