"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.207770652583931,0.176605054696341,0.85,0.834905293479567,5017.53744934131
"subset4",0.222641407744752,0.189245196583039,0.85,0.833607678055606,4602.70883192137
