"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.180439121756487,0.153373253493014,0.85,0.837201525559039,5957.54011003422
"subset4",0.179562405005125,0.152628044254356,0.85,0.837273358717363,5992.41338534578
