"","p1","p2","mortality_multiplier","hazard_ratio","sample_size"
"subset1",0.447238855622089,0.380153027278776,0.85,0.808426377054977,1677.9988066272
"subset2",0.449244060475162,0.381857451403888,0.85,0.80813918870868,1664.94106472971
"subset3",0.308104104951333,0.261888489208633,0.85,0.825398211114813,2991.76033767289
