"","sf94_day5_P","sf94_day8_P","sf94_day5_P","sf94_day8_P","sf94_day5_P","sf94_day8_P"
"mean",2.79414491789369,3.18107918985695,2.84009960773512,3.25452427291991,2.91619217889638,3.23925364856946
"SD",1.47490561740607,1.59505296465009,1.51163656183508,1.61052562146894,1.4848978180683,1.5760050272651
