"","YES","NO","N/A","Male","Female","Not specified","NO","YES","NO","YES"
"not_sf94",12186,5928,0,15351,11975,0,20532,6184,7789,18927
"S/F94",30748,9892,0,34367,24155,0,38693,18325,22533,34485
