"","p1","p2","mortality_multiplier","sample_size","continuity_corrected_sample_size"
"subset1",0.207770652583931,0.176605054696341,0.85,2507.95015569471,5143
"subset2",0.207418146010558,0.176305424108975,0.85,2513.22893170383,5154
"subset3",0.155634573304158,0.132289387308534,0.85,3548.45715343876,7267
