"","0.70","0.75","0.80","0.85"
"sus imp",0.0576631306779833,0.0471404693735796,0.0370729100109207,0.0273862022747544
"who",0.686713072610923,0.738099022587673,0.789812167230101,0.841855641586005
"sf94",0.331798004518226,0.273304584424923,0.216875265380991,0.161961964096997
