"","YES","NO","N/A","Male","Female","Not specified","NO","YES","NO","YES"
"not_sf94",14566,6655,0,22421,16969,0,29849,8824,11328,27345
"S/F94",40725,11648,0,45915,31797,0,50720,25291,30819,45192
